common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Adonis,Polyommatus bellargus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Chalk and limestone grasslands,Herbivore (larvae) — horseshoe vetch; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,"Europe, Middle East, Central Asia","The Adonis blue butterfly is one of the most vivid blue butterflies in Europe. The intense blue colour is structural, produced by microscopic scales that refract light, not by blue pigment.","Habitat loss (chalk grassland), loss of grazing, climate change","The Adonis blue is a small butterfly. Males have brilliant iridescent blue upperwings with white-fringed edges; females are brown with orange spots. Both sexes have distinctive white-fringed, spotted underwings.",,
African Giant Swallowtail,Papilio antimachus,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Lowland rainforests of Central and West Africa,"Herbivore (larvae) — Entandrophragma; Adults — nectar, minerals",1 year (lifecycle),N/A,<0.001 kg,Not Evaluated,Unknown,Central and West Africa,"The African giant swallowtail is the largest butterfly in Africa and one of the largest in the world, with a wingspan of up to 25 cm. It is toxic — its body contains poison from its larval food plants, deterring predators.",Deforestation,"The African giant swallowtail has a wingspan of up to 25 cm. Its wings are orange-brown with black markings and small, pale spots. It is toxic to predators and rarely collected due to its large size and rarity.",,
African Leopard,Panthera pardus pardus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Savannas, forests, grasslands, mountains","Carnivore — antelopes, baboons, hares, birds",12–17 years,21–23 years,30–90 kg,Vulnerable,Decreasing,Sub-Saharan Africa,Leopards are the strongest climbers among big cats and habitually haul carcasses heavier than themselves up into trees to cache them from lions and hyenas.,"Habitat loss, prey depletion, retaliatory killing, illegal trade","The African leopard is the nominate subspecies of the leopard. It has a pale yellow to golden coat covered with dark rosette spots. It is solitary and nocturnal, with extraordinary adaptability across habitats.",,
American Snoot,Libytheana carinenta,Animalia,Arthropoda,Insecta,Lepidoptera,Libytheidae,Libytheana,"Woodland edges, hackberry groves, stream valleys","Herbivore (larvae) — hackberry; Adults — nectar, sap, mud",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,North and Central America,"Snout butterflies get their name from their elongated labial palps (mouthparts) that extend forward, making the butterfly look as if it has a long snout. These resemble a broken twig and aid in camouflage when at rest.",Hackberry tree loss,"The American snout butterfly has an orange and dark brown upper wing pattern with white forewing spots. When at rest with wings folded, its extended palps make it remarkably resemble a dead leaf on a twig.",,
An 88,Diaethria anna,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Diaethria,Tropical rainforests of Central and South America,"Herbivore (larvae) — various plants; Adults — rotting fruit, dung, sap",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Central and South America,"The '88 butterfly' gets its name from the pattern on its hindwing underside, which resembles the number '88' or '89'. This precise, repeatable pattern has fascinated naturalists and collectors for centuries.",Deforestation,The 88 butterfly has striking blue-black and red upperside wings. The underside of the hindwings displays the famous black-on-white '88' numeral pattern. It is most visible at rest with wings folded.,,
Antelope,Antilopinae spp.,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Various,"Savannas, grasslands, deserts, forests","Herbivore — grasses, leaves, shrubs",10–25 years,Up to 30 years,20–900 kg (varies by species),Least Concern,Varies by species,"Africa, Asia, North America",Antelopes can reach speeds of up to 100 km/h and are capable of jumping 3 metres high to escape predators.,"Habitat loss, hunting, competition with livestock","Antelopes are a diverse group of herbivorous mammals in the family Bovidae. Most species are native to Africa. They are characterised by their hollow, unbranched horns and slender, graceful builds.",,
Appollo,Parnassius apollo,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,"Alpine meadows, rocky slopes, subalpine zones",Herbivore (larvae) — stonecrop (Sedum); Adults — nectar from alpine flowers,1 year (lifecycle),N/A,<0.001 kg,Vulnerable,Decreasing,Mountains of Europe and Central Asia,"The apollo butterfly is the only butterfly specifically listed on CITES Appendix II, restricting its international trade. After mating, the male glues a hardened plug (sphragis) to the female's abdomen to prevent her from mating again.","Climate change (shrinking alpine habitat), overgrazing, collection","The apollo is a large, striking butterfly with white wings that are semi-transparent with grey vein patterns, black spots near the wing margins, and distinctive red spots with white centres on the hindwings.",,
Arcigera Flower Moth,Schinia arcigera,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Schinia,"Prairies, meadows, grasslands with aster plants",Herbivore (larvae) — aster (Symphyotrichum); Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Unknown,Eastern North America,"Flower moths of the genus Schinia are cryptically coloured to match the specific flower species their larvae feed on. The arcigera flower moth is found almost exclusively on aster flowers, virtually disappearing against the petals.",Prairie habitat loss,"The arcigera flower moth has distinctive pinkish-purple hindwings and mottled, cryptic forewings with pink and grey-brown colouring. It rests on aster flowerheads during the day, relying on camouflage for protection.",,
Asian Green Bee Eater,Merops orientalis,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,"Open country, grasslands, farmlands, light forests","Carnivore — bees, wasps, dragonflies, other flying insects",8–10 years,N/A,0.015–0.018 kg,Least Concern,Stable,"Sub-Saharan Africa, Middle East, South and Southeast Asia","Before eating a bee, the green bee-eater beats it against a branch to remove the sting and squeeze out the venom sac, making the bee safe to eat — a learned behaviour observed across the species.","Habitat loss, pesticide use reducing prey","The Asian green bee-eater is a small, brilliantly coloured bird with emerald-green plumage, a blue chin, black eye mask, chestnut crown and nape, and elongated central tail feathers. It is an aerial insect hunter.",,
Atala,Eumaeus atala,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Eumaeus,"Coastal scrub, pine flatwoods with coontie palm",Herbivore (larvae) — coontie (Zamia integrifolia); Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Near Threatened,Recovering,"South Florida, Cuba, Bahamas","The atala butterfly was thought to be extinct in Florida by the 1960s due to destruction of its host plant, coontie. Conservation of coontie in gardens and parks led to a dramatic recovery, making it one of butterfly conservation's success stories.","Coontie loss, habitat destruction",The atala is a small but spectacular butterfly with iridescent blue-green wings bordered in black above. The underside is black with rows of blue spots and a brilliant red abdomen — warning colours advertising its toxicity from coontie.,,
